"PlayerName","Team","POS","ADP","PA","rPTS","PTS","aPOS","Dollars"
"Ryan Zimmerman","Nationals","1B","423.7","509","700.0","($326.7)","$20.7","($305.0)"
"Willians Astudillo","Twins","P/C/2B/3B/OF/DH","274.0","338","403.0","($617.9)","$312.0","($305.0)"
"Jason Castro","Twins","C","587.2","385","402.0","($618.9)","$312.0","($305.9)"
"Manuel Margot","Padres","OF","317.2","549","715.0","($312.0)","$2.1","($308.9)"
"Scott Schebler","Reds","OF","487.4","508","709.0","($317.9)","$2.1","($314.8)"
"Daniel Palka","White Sox","OF/DH","386.5","536","706.0","($320.8)","$2.1","($317.7)"
"Brandon Crawford","Giants","SS","558.0","605","692.0","($334.5)","($3.8)","($337.3)"
"Yuli Gurriel","Astros","1B/3B","200.9","533","649.0","($376.7)","$38.4","($337.3)"
"Freddy Galvis","Blue Jays","SS","584.4","633","691.0","($335.5)","($3.8)","($338.3)"
"Nick Markakis","Braves","OF","328.4","593","680.0","($346.3)","$2.1","($343.2)"
"Mitch Garver","Twins","C","523.6","316","363.0","($657.2)","$312.0","($344.2)"
"Tyler O'Neill","Cardinals","OF","369.5","475","678.0","($348.3)","$2.1","($345.2)"
"Teoscar Hernandez","Blue Jays","OF","418.5","499","667.0","($359.1)","$2.1","($355.9)"
"Dansby Swanson","Braves","SS","520.8","535","672.0","($354.2)","($3.8)","($356.9)"
"Kyle Tucker","Astros","OF","369.2","451","666.0","($360.0)","$2.1","($356.9)"
"Orlando Arcia","Brewers","SS","547.4","562","671.0","($355.1)","($3.8)","($357.9)"
"Jason Heyward","Cubs","OF","580.8","543","656.0","($369.8)","$2.1","($366.7)"
"Billy McKinney","Blue Jays","OF","587.7","496","656.0","($369.8)","$2.1","($366.7)"
"Fernando Tatis Jr.","Padres","SS","999.0","482","661.0","($364.9)","($3.8)","($367.7)"
"Kendrys Morales","Athletics","DH","559.2","531","653.0","($372.8)","$0.0","($371.8)"
"Matt Kemp","Reds","OF","326.6","517","648.0","($377.7)","$2.1","($374.6)"
