"PlayerName","Team","POS","ADP","IP","rPTS","PTS","aPOS","Dollars"
"Wei-Chung Wang","Athletics","SP","999.0","114","387.0","($486.1)","$108.1","($377.0)"
"Dietrich Enns","Padres","SP","999.0","107","387.0","($486.1)","$108.1","($377.0)"
"Josh Rogers","Orioles","SP","999.0","132","386.0","($487.0)","$108.1","($377.9)"
"Triston McKenzie","","SP","600.9","97","386.0","($487.0)","$108.1","($377.9)"
"Dustin Beggs","","SP","999.0","108","386.0","($487.0)","$108.1","($377.9)"
"Braden Webb","","SP","999.0","101","385.0","($487.9)","$108.1","($378.8)"
"Yennsy Diaz","","SP","999.0","118","385.0","($487.9)","$108.1","($378.8)"
"David Robertson","Phillies","RP","154.7","61","385.0","($487.9)","$108.1","($378.8)"
"Yovani Gallardo","","SP","999.0","122","385.0","($487.9)","$108.1","($378.8)"
"Hector Noesi","Marlins","SP","999.0","115","385.0","($487.9)","$108.1","($378.8)"
"Max Povse","Mariners","SP","999.0","101","385.0","($487.9)","$108.1","($378.8)"
"Darwinzon Hernandez","","SP","999.0","95","384.0","($488.8)","$108.1","($379.7)"
"Ryan Merritt","Rays","SP","999.0","114","384.0","($488.8)","$108.1","($379.7)"
"Adalberto Mejia","Twins","SP","601.0","100","384.0","($488.8)","$108.1","($379.7)"
"Jon Harris","","SP","999.0","132","383.0","($489.6)","$108.1","($380.5)"
"Teddy Stankiewicz","","SP","999.0","135","383.0","($489.6)","$108.1","($380.5)"
"Michel Baez","","SP","999.0","94","383.0","($489.6)","$108.1","($380.5)"
"Huascar Ynoa","","SP","999.0","99","382.0","($490.5)","$108.1","($381.4)"
"Tanner Banks","","SP","999.0","127","382.0","($490.5)","$108.1","($381.4)"
"Matt Shoemaker","Blue Jays","SP","581.0","90","382.0","($490.5)","$108.1","($381.4)"
"Blake Treinen","Athletics","RP","62.2","71","381.0","($491.4)","$108.1","($382.3)"
"Jordan Johnson","","SP","999.0","115","379.0","($493.1)","$108.1","($384.0)"
"Jose Leclerc","Rangers","RP","107.8","63","379.0","($493.1)","$108.1","($384.0)"
"Asher Wojciechowski","Indians","SP","999.0","103","379.0","($493.1)","$108.1","($384.0)"
"Mychal Givens","Orioles","RP","241.6","73","379.0","($493.1)","$108.1","($384.0)"
"Yohander Mendez","Rangers","SP","600.3","130","379.0","($493.1)","$108.1","($384.0)"
"Ryan Pressly","Astros","RP","342.0","67","378.0","($494.0)","$108.1","($384.9)"
"Justin Nicolino","Twins","SP","999.0","132","377.0","($494.9)","$108.1","($385.8)"
"Keegan Thompson","","SP","999.0","115","377.0","($494.9)","$108.1","($385.8)"
"Chris Paddack","Padres","SP","999.0","80","377.0","($494.9)","$108.1","($385.8)"
"Justin Donatella","","SP","999.0","114","376.0","($495.7)","$108.1","($386.6)"
"Cam Vieaux","","SP","999.0","121","376.0","($495.7)","$108.1","($386.6)"
"Adonis Rosa","","SP","999.0","120","376.0","($495.7)","$108.1","($386.6)"
"Glenn Sparkman","Royals","SP","999.0","118","376.0","($495.7)","$108.1","($386.6)"
"Drew VerHagen","Tigers","SP","999.0","93","376.0","($495.7)","$108.1","($386.6)"
"Williams Perez","Cardinals","SP","999.0","103","376.0","($495.7)","$108.1","($386.6)"
"Scott Blewett","","SP","999.0","136","376.0","($495.7)","$108.1","($386.6)"
"Tyler Wells","","SP","999.0","102","375.0","($496.6)","$108.1","($387.5)"
"Mitchell White","","SP","999.0","98","375.0","($496.6)","$108.1","($387.5)"
"Trevor Clifton","","SP","999.0","111","375.0","($496.6)","$108.1","($387.5)"
"Jesus Tinoco","","SP","999.0","125","375.0","($496.6)","$108.1","($387.5)"
"Miguel Gonzalez","","SP","999.0","114","374.0","($497.5)","$108.1","($388.4)"
"Carson Fulmer","White Sox","SP","999.0","108","374.0","($497.5)","$108.1","($388.4)"
"Alec Hansen","","SP","999.0","93","373.0","($498.4)","$108.1","($389.3)"
"Luis Pena","","SP","999.0","109","372.0","($499.2)","$108.1","($390.1)"
"Kenley Jansen","Dodgers","RP","72.6","64","372.0","($499.2)","$108.1","($390.1)"
"Drew Anderson","Phillies","SP","999.0","104","372.0","($499.2)","$108.1","($390.1)"
"Justin Haley","","SP","999.0","107","372.0","($499.2)","$108.1","($390.1)"
"Ryan Carpenter","Tigers","SP","999.0","113","372.0","($499.2)","$108.1","($390.1)"
"Mike Wright Jr.","Orioles","SP","999.0","101","372.0","($499.2)","$108.1","($390.1)"
"Aaron Civale","","SP","999.0","119","371.0","($500.1)","$108.1","($391.0)"
"Joe Biagini","Blue Jays","SP","999.0","106","371.0","($500.1)","$108.1","($391.0)"
"A.J. Puk","","SP","583.4","82","370.0","($501.0)","$108.1","($391.9)"
"Richard Rodriguez","Pirates","RP","598.8","71","370.0","($501.0)","$108.1","($391.9)"
"Jimmy Lambert","","SP","999.0","103","369.0","($501.8)","$108.1","($392.7)"
"Arnaldo Hernandez","","SP","999.0","120","369.0","($501.8)","$108.1","($392.7)"
"Jimmy Yacabonis","Orioles","SP","999.0","103","369.0","($501.8)","$108.1","($392.7)"
"Sam Coonrod","","SP","999.0","96","368.0","($502.7)","$108.1","($393.6)"
"Adam Ottavino","Yankees","RP","414.0","62","368.0","($502.7)","$108.1","($393.6)"
"Sam McWilliams","","SP","999.0","108","367.0","($503.6)","$108.1","($394.5)"
"Jonathan Hernandez","","SP","999.0","103","367.0","($503.6)","$108.1","($394.5)"
"Gregory Soto","","SP","999.0","104","367.0","($503.6)","$108.1","($394.5)"
"Austen Williams","Nationals","SP","999.0","92","367.0","($503.6)","$108.1","($394.5)"
"Daniel Wright","","SP","999.0","127","367.0","($503.6)","$108.1","($394.5)"
"Spencer Adams","","SP","999.0","139","367.0","($503.6)","$108.1","($394.5)"
