"PlayerName","Team","POS","ADP","PA","rPTS","PTS","aPOS","Dollars"
"Scott Schebler","Reds","OF","487.4","627","801.0","($152.6)","$7.6","($143.9)"
"Brian Anderson","Marlins","3B/OF","315.5","644","760.0","($195.7)","$50.7","($143.9)"
"Grayson Greiner","Tigers","C","561.8","480","481.0","($488.7)","$342.7","($145.0)"
"Shohei Ohtani","Angels","DH","214.6","525","807.0","($146.3)","$0.0","($145.3)"
"Marcell Ozuna","Cardinals","OF","83.9","609","799.0","($154.7)","$7.6","($146.1)"
"Tommy Pham","Rays","OF","58.8","581","798.0","($155.7)","$7.6","($147.1)"
"A.J. Pollock","Dodgers","OF","110.7","595","795.0","($158.9)","$7.6","($150.3)"
"Matt Olson","Athletics","1B","178.0","560","757.0","($198.8)","$47.6","($150.3)"
"Rafael Devers","Red Sox","3B","135.9","560","753.0","($203.0)","$50.7","($151.3)"
"Jean Segura","Phillies","SS","61.8","637","803.0","($150.5)","($2.9)","($152.4)"
"Max Kepler","Twins","OF","216.7","616","792.0","($162.1)","$7.6","($153.4)"
"Adam Frazier","Pirates","2B/OF","375.2","610","717.0","($240.8)","$85.4","($154.5)"
"Ryan Braun","Brewers","OF","193.2","560","788.0","($166.3)","$7.6","($157.6)"
"Maikel Franco","Phillies","3B","279.2","590","747.0","($209.3)","$50.7","($157.6)"
"Adam Eaton","Nationals","OF","196.1","616","786.0","($168.4)","$7.6","($159.7)"
"Jeimer Candelario","Tigers","3B","495.6","630","742.0","($214.6)","$50.7","($162.9)"
"Omar Narvaez","Mariners","C","271.2","448","464.0","($506.6)","$342.7","($162.9)"
"Niko Goodrum","Tigers","1B/2B","317.8","595","708.0","($250.3)","$85.4","($163.9)"
"Shin-Soo Choo","Rangers","OF/DH","295.4","623","780.0","($174.7)","$7.6","($166.0)"
"David Peralta","Diamondbacks","OF","143.8","595","780.0","($174.7)","$7.6","($166.0)"
"Jason Kipnis","Indians","2B","527.9","581","706.0","($252.4)","$85.4","($166.0)"
"Welington Castillo","White Sox","C","211.1","416","461.0","($509.7)","$342.7","($166.0)"
"Starlin Castro","Marlins","2B","438.8","637","705.0","($253.4)","$85.4","($167.1)"
"Ender Inciarte","Braves","OF","140.8","644","778.0","($176.8)","$7.6","($168.1)"
"John Hicks","Tigers","C/1B","385.7","429","457.0","($513.9)","$342.7","($170.2)"
"Marcus Semien","Athletics","SS","239.1","644","785.0","($169.4)","($2.9)","($171.3)"
